Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
J000102630,JAX,P0,X,"12,13","9,13",11,"11,17","14,15.2",30,"19,24",15,"10,13",10,"12,14",23,9.3,8,15,,
J000102680,JAX,P0,"X,Y","12,13",11,"9,12","12,14","13,14",30,"17,20","15,16","12,13","9,10","13,15","23,24","6,8","8,10",18,,
J000103366,JAX,P0,"X,Y",10,"11,12",11,"16,14","14,16.2","28,33","23,25","15,17",11,"9,12","8,10","22,23.2","9,9.3","8,12","15,16",,
J000103634,JAX,P0,X,"10,11",9,12,13,12.2,29,23,17,"11,12","10,12",13,"21,25",6,8,20,,
J000103917,JAX,P0,X,"10,12","11,13","11,12",16,15.2,"29,30","24,25",16,"11,12","10,12",13,"20,21",6,11,"16,18",,
J000104096,JAX,P0,"X,Y",12,"10,11","11,13",12,"12,13",31,17,"16,18",11,"8,11",13,"20,25",9.3,"8,9","17,20",,
J000104117,JAX,P0,X,"11,12","12,13",11,17,"14.2,15.2,17",32.2,"17,19","14,15,16,17","11,12",11,"13,14","18,2,22","6,9",11,"13,18",,
J000104256,JAX,P0,"X,Y",12,"11,12",12,"12,17","12,14","28,30.2","16,17","14,17","10,13","10,11","13,14",20,"7,9.3","10,11","16,17",,
J000104314,JAX,P0,"X,Y","10,12","12,14","9,12","12,15","13,15","29,31.2","20,23",17,"11,13","7,8",13,24,"6,9.3","8,9",16,,
J000104518,JAX,P0,"X,Y",11,"8,11","12,13",16,15,"28,29","20,23",18,"11,12",11,"12,14","21,24",8,8,"14,16",,
J000104720,JAX,P0,X,10,12,11,"15,17","13,15","30,32.2",25,17,11,8,"12,13","22,26",10,11,"14,19",,
J000104944,JAX,P0,X,12,"8,11","9,11","15,16",15.2,"29,31.2",20,14,"9,13","12,13","10,15",23,"7,9",8,"14,18",,
J000105006,JAX,P0,X,13,"11,12",11,"13,16","14,14.2","28,29","19,21",15,12,"11,12","12,15",25,"9,9.3","9,11","18,19",,
J000105561,JAX,P0,X,11,11,"11,12","15,16","14.2,15",31.2,17,15,"11,12",10,"13,14","21,25","6,7","8,11",18,,
J000105779,JAX,P0,X,11,10,12,10,13,29,20,16,12,10,10,25,6,12,"14,17",,
J000105934,JAX,P0,"X,Y",12,12,11,"12,19.2","13,16",30,17,16,12,"8,11","14,15","18,20","6,9.3","8,10","14,17",,
J000106172,JAX,P1,X,12,13,"10,12",14,"14,16",30,19,16,12,"8,11","11,12","20,22",8,8,"17,18",,
J000106526,JAX,P4,X,"10,12","10,11","11,13","20,21","14,15,16.2","32.2,33.2","17,20","14,18","12,13",10,"12,13","19,25",8,8,"17,18",,
J000106527,JAX,P3,X,13,11,11,"17,20","13,14",30,17,17,9,10,13,25,7,"8,11",18,,
J000106528,JAX,,X,12,11,9,"15.2,17","14,14.2","27,28",19,14,13,"8,12","15,16",22,6,11,16,,
J000106529,JAX,P2,X,12,11,9,"15.2,17","14,14.2","27,28",19,14,13,"8,12","15,16",22,7,11,16,,
J000106531,JAX,P5,X,10,"11,12",9,12,"14,14.2",29,"22,24",12,12,"8,12","11,14",22,"6,10",8,16,,
J000106532,JAX,P6,X,"10,11","8,11","10,11","13,14","10.2,14","24.2,29","19,20","17,18","11,13","7,11","13,14","21,24",9.3,"8,11","16,17",,
J000106533,JAX,P4,X,12,11,13,"15,17","13,15.2",30,21,17,13,"9,10",13,"21,22",8,9,"15,17",,
J000106534,JAX,P3,X,11,10,"9,13",12,"13,15",29,"19,23","17,18",10,"10,12","12,13","25,26",7,"11,12","16,17",,
J000106535,JAX,,X,10,"9,11",10,"13,15","14,15.2","26.2,27","19,24","15,17","12,13","9,11","10,14","22,24","7,9","8,11",17,,
J000106536,JAX,P4,"X,Y",12,"11,12",10,"15,17","14,15","31.2,32.2","17,18","15,17","7,11","10,11","13,15","22,26","7,10","8,11","17,18",,
J000106560,JAX,P8,"X,Y",10,12,12,17,14,29,"17,21",18,11,"11,12","13,15","23,24","8,9",8,18,,
J000107333,JAX,P0,"X,Y",12,"8,9",9,18,"15.2,16.2","31.2,33.2","17,19","15,17",12,"9,11",14,"20,25","7,9",8,"16,19",,
J000107536,JAX,P0,"X,Y","9,12","11,12","11,13","11,17","12,13","29,30",20,"15,18",12,"9,13","12,14","22,25","6,9.3",11,"14,17",,
J000108112,JAX,P0,"X,Y","8,10","8,12",10,20,"12,13","32.2,33.2","24,25",15,"11,12",9,"14,16",24,8,"5,8","17,18",,
J000108157,JAX,P0,X,10,11,"11,13","14,15","13,14","28,31.2","24,27",17,12,"8,9","11,14",21,"8,10","8,11",20,,
J000108200,JAX,P0,"X,Y","9,13",11,11,"13,14",14,"28,31",24,16,"11,12",10,"11,13","21,24","6,7","8,12","17,18",,
J000108931,JAX,P0,"X,Y","10,11","12,13","13,14","14,18",13,"30.2,32","17,20","16,17","12,13","10,12","10,13","22,23","7,9","11,12","17,21",,
J000108981,JAX,P0,X,12,"9,12","11,12",18,"14,15",30,23,"15,17",13,"8,10","12,15","20,21","8,9.3",11,"15,19",,
J000109079,JAX,P1,"X,Y","10,12","12,13",11,"10,15",13,"30.2,31","24,25","16,17","12,13",11,13,"19,20",10,"8,11","17,18",,
J000109148,JAX,P0,X,11,"10,11","9,12",15,"15,17.2",30,"19,22",15,13,"11,12",13,"20,21",7,"8,11",16,,
J000109799,JAX,P0,"X,Y",12,12,11,17,"12,14","28,30",23,"15,16","11,12","10,11","12,13",22,"6,7",8,"16,20",,
J000111054,JAX,P5,X,8,"12,13","11,13","17,18",13,"31.2,35","18,23",15,12,"10,16","14,17","20,25",8,8,17,,
J000111056,JAX,P2,X,12,11,"9,10","14,20","14,16.2",28,22,16,12,11,14,23,6.3,"9,11","16,18",,
J000111428,JAX,P0,"X,Y","10,11","11,12","11,12","13,14","12,14.2","29,31.2","17,18","16,18","11,12","10,12","12,13",20,"9,9.3",8,"17,18",,
J000111615,JAX,P0,X,10,"12,13","8,11","13,19","12,17.2",30,"21,25","14,15",12,"9,10","15,16","20,21","8,9","9,11",17,,
J000111644,JAX,P0,X,11,"11,12","11,12.2",17,"13,16.2","28,29","18,24",14,"12,13","10,12","12,14","22,24","8,9",8,17,,
J000111787,JAX,P1,"X,Y",11,13,"9,11","14,18","13,14","27,28","19,21",15,12,11,"10,13",24,6,"8,11",16,,
J000112064,JAX,P0,X,11,8,9,14,14.2,"30,32.2","23,24",16,13,"8,12","10,15","24,25",6,"8,11",17,,
J000112272,JAX,P1,X,"10,11","9,11","9,12","16,18",14,"29,32.2","20,25","14,15",11,"9,10","8,12",21,9.3,"9,11","16,18",,
J000112358,JAX,P0,X,"11,12","8,10",11,"12,18","13,16","31.2,32.2","19,23","15,16","12,13","9,12","12,14","23,25","7,9.3",8,17,,
J000112414,JAX,P1,X,12,"10,11","12,13","14,21","13,15.2","31.2,",23,"16,17",7,12,"13,14","22,27","9.3,10",8,"14,17",,
J000112882,JAX,P0,X,"11,13",11,12,"11,13","13,16",32.2,"20,24",15,11,"8,9","13,15","23,25","6,9.3","8,11",16,,
J000114963,JAX,P0,X,"11,12",12,12,"12,15",14,"28,31",21,17,"11,12","8,10","14,15",22,5.3,"9,11",16,,
J000115416,JAX,P5,X,"10,12",12,"11,12",17,"13.2,14","29,30","17,19","14,17",11,"8,11","13,14","23,24","9.3,10",8,"14,15",,
J000115417,JAX,P6,X,"10,12",12,12,17,"12,13","29,32.2","17,18",18,"9,12","11,12","11,12","20,26",9.3,"8,9","17,18",,
J000115418,JAX,P3,"X,Y","10,12","12,13",13,"12,13",15,"30.2,32.2","17,24","14,17","11,12","8,10","10,13","19,24","8,9","9,12","15,17",,
J000115419,JAX,P3,X,12,"10,12","10,13",17,"14,15",28,21,"14,15","11,12","8,9",12,"22,23",10,"8,11","14,16",,
J000115420,JAX,P3,X,12,10,"10,12","19,20","11,14","32.2,33.2","17,25","14,15","11,12",10,"12,13","21,22","7,9.3","8,9","18,19",,
